ISBN,Title,Genre,Year,Stock,Price,Author
156322470-4,The Land Before Time XI: Invasion of the Tinysauruses,Animation|Children|Fantasy|Sci-Fi,2011,94,16.67,Carmelita Clace
743288670-9,Village People,Comedy,2008,27,17.98,Rabi Kynder
031205182-4,Rhinestone,Comedy,1988,90,17.99,Nady Woolfoot
924188033-3,"Leafie, a Hen Into the Wild (Madangeul Naon Amtak)",Adventure|Animation|Drama,2005,6,3.88,Frances Allnatt
544244174-0,"Wife, The",Comedy|Drama,1991,86,26.45,Thomas Gowanson
343976318-8,"Adventures of Huckleberry Finn, The",Adventure|Children,2000,22,5.47,Batsheva Chitson
234023594-4,Playing the Victim (Izobrazhaya zhertvu),Comedy,2012,74,11.49,Keely Simmgen
615521993-1,Kaksi kotia (Dagmamman),Drama,2000,95,29.26,Shepperd Robeson
059728681-7,Knute Rockne All American,Drama,2007,1,12.53,Natala McCuaig
893682771-5,"Matter of Taste, A (Affaire de Goût, Une)",Crime|Drama|Thriller,2012,91,4.95,Mae Bickers
119054215-3,When Eight Bells Toll,Action|Adventure|Crime|Mystery,2006,14,29.0,Dru Sollom
841472804-9,"Goodbye, Dragon Inn (Bu san)",Comedy|Drama,2003,31,3.52,Ted Jullian
980535654-X,It's Love I'm After,Comedy,1992,17,17.36,Nikkie Hellings
513615528-0,13Hrs,Adventure|Mystery,2003,14,26.32,Rochester Bazely
148616482-X,Gravity,Action|Sci-Fi|IMAX,2012,49,5.6,Kathlin Southward
646213850-5,"Murder of Fred Hampton, The",Crime|Documentary,1994,50,24.76,Cassy Bootell
284412813-0,Boca,Action|Crime|Drama,1998,54,15.59,Daron Chadbourne
081602929-6,Ever After: A Cinderella Story,Comedy|Drama|Romance,2011,88,23.54,Hyacinth Vedishchev
869953448-5,For a Few Dollars More (Per qualche dollaro in più),Action|Drama|Thriller|Western,1988,91,19.61,Sloane Haddinton
686486026-4,It Conquered the World,Sci-Fi,2007,96,25.77,Jasun MacIlory
944564806-4,Killing Words (Palabras encadenadas),Crime|Drama|Thriller,1996,39,22.7,Major Duckers
503289812-0,Becoming Jane,Drama|Romance,2008,43,20.42,Andrey Jachimak
734226366-4,"Report on the Party and the Guests, A (O slavnosti a hostech)",Drama,1998,52,17.07,Maggi Gervaise
899786378-9,Marley & Me,Comedy|Drama,1992,14,14.31,Cordula Hargrove
872993014-6,"Odds, The",Crime|Mystery,2004,24,28.96,Woodman Nangle
082949322-0,"Five Wives, Three Secretaries and Me",Documentary,1999,15,16.75,Darin Melody
764440707-3,Brazil: In the Shadow of the Stadiums,Documentary,1989,35,7.75,Cece Ellwood
799745349-0,Open Season,Comedy,2008,41,6.05,Gerty Clewarth
156822981-X,Cries and Whispers (Viskningar och rop),Drama,2000,4,21.54,Milicent McCrillis
881768028-1,Unfaithful,Drama|Thriller,1991,32,29.36,Gabriel Shawe
774596098-3,The Substitute 2: School's Out,Action|Thriller,1999,35,11.16,Zandra Gotecliffe
783806341-8,"Art of Travel, The",Adventure|Drama|Romance,2002,21,13.6,Jacinta Witham
234793976-9,On the Beach,Drama,1999,54,6.31,Gerik Chazier
660726570-7,Broken City,Crime|Drama|Thriller,1994,78,5.48,Annabal Van der Merwe
823307117-X,Pinocchio,Animation|Children|Fantasy|Musical,1993,10,5.33,Ode Buckner
565635142-4,Chasing Ice,Documentary,2007,4,1.48,Valerie Moynihan
042016862-1,"Virgin Suicides, The",Drama|Romance,2007,67,27.22,Daveen Eastam
489545863-6,"Ice Harvest, The",Action|Comedy|Crime|Thriller,1996,79,17.58,Amil Dulinty
440942270-7,1939: Hollywood's Greatest Year,Documentary,2005,74,22.5,Garnet Ghelerdini
059084045-2,Sky West and Crooked (Gypsy Girl),Drama|Romance,2009,86,16.74,Alejandrina Mulkerrins
517997595-6,The War at Home,Documentary|War,2012,97,22.11,Fletcher Bradford
479138556-X,Cookers,Drama|Horror|Thriller,1987,29,3.94,Shannan Rimmer
937362255-2,"Rescuers Down Under, The",Adventure|Animation|Children,1987,61,1.06,Clarice Morritt
116228098-0,"Django the Bastard (Strangers Gundown, The) (Django il bastardo)",Action|Thriller|Western,2012,17,13.08,Zackariah Andrini
387360838-3,33 Postcards,Drama,1985,69,26.13,Conroy Marfield
220338197-3,Sweethearts,Musical|Romance,2001,69,4.99,Reiko Reolfi
817453056-8,Wagons East,Comedy|Western,1997,99,27.76,Joby Anfrey
760039900-8,Night Falls on Manhattan,Crime|Drama,1989,13,8.36,Shanta McAuslan
864636608-1,Shadows and Fog,Comedy|Drama|Mystery|Thriller,1993,39,11.83,Rita Queyeiro
845070080-9,"We and the I, The",Drama,1994,22,23.93,Curtis Hemphill
672624419-3,Babylon,Drama,2004,100,27.83,Fidole Kirsch
552876514-5,Princesas,Drama,2008,61,22.57,Gage Van der Krui
169041216-X,Escape from Dartmoor,Crime|Drama,1997,54,27.75,Kathleen Scapelhorn
426406514-3,Dances With the Dragons ( Yu long gong wu),Comedy|Drama|Romance,2006,53,1.1,Delaney Weale
640120931-3,Battle of the Bulge,Action|Drama|War,2002,5,23.03,Tammie Clack
471979862-4,MacArthur,Drama,2006,93,10.55,Ambrosio Ambrois
654531807-1,Why Do Fools Fall In Love?,Drama,2011,48,13.47,Cobbie Lembrick
344054519-9,Nine Deaths of the Ninja,Action,2008,80,25.62,Arin Mitkov
552010674-6,Red Doors,Comedy|Drama,1999,80,8.96,Lettie Henriques
523505963-8,Ten Violent Women,Action|Drama,2007,65,19.69,Dyana Gauchier
837273208-6,"Not for or Against (Quite the Contrary) (Ni pour, ni contre (bien au contraire))",Crime|Drama,2012,5,24.27,Davon Annable
848364149-6,Dahmer,Drama|Horror|Thriller,2007,43,18.52,Dede Comini
393563624-5,"Man of Straw (Untertan, Der)",Comedy|Drama,1995,3,24.27,Juline Cobello
440916905-X,Breathless,Thriller,2012,8,15.54,Granny Louder
677668648-3,Outlaw Blues,Drama,2000,69,5.47,Brantley Fishleigh
276920310-X,Unknown White Male,Documentary,2012,31,28.27,Shelly Farherty
209097803-1,Nina Frisk,Comedy|Drama,1991,9,23.33,Creighton Keyworth
167735828-9,Lured,Crime|Film-Noir|Mystery|Thriller,1965,95,26.21,Lanny Schruyer
626072254-0,Deadly Blessing,Horror,1995,99,25.95,Rosemarie Endean
234246664-1,At First Sight,Drama,2008,88,9.41,Edgard McCarle
142995216-4,Winnie the Pooh and Tigger Too,Animation|Children,1993,14,27.73,Muire Huard
585799452-7,Dorian Blues,Comedy,2000,77,24.6,Reba Robert
491184569-4,"Mozart's Sister (Nannerl, la soeur de Mozart)",Drama|Romance,1997,5,27.14,Danya Ucceli
903077621-8,Breaker! Breaker!,Action|Adventure|Crime,2010,65,15.54,Hedi Lehrmann
034920481-0,Batman & Mr. Freeze: Subzero,Action|Animation|Children|Crime,1994,38,24.11,Agnes Kave
247326453-8,Where the Heart Is,Comedy|Drama,1999,61,15.92,Neall Canter
046141857-6,Even Cowgirls Get the Blues,Comedy|Romance,1990,69,15.24,Kent Adamovich
575078055-4,Midnight Bayou,Drama|Mystery|Romance,1983,2,12.12,Birgitta Silby
965537009-7,Charm's Incidents (Charms Zwischenfälle),Drama,2009,59,15.12,Bobbe Patchett
755529034-0,"Seasoning House, The",Horror|Thriller,1995,11,3.25,Leticia Jouannot
402116639-4,Holy Man,Comedy,1998,47,2.31,Danila Redferne
922991380-4,Gaby: A True Story,Drama|Romance,1992,21,22.79,Karmen Wellan
266899888-3,Belizaire the Cajun,Drama,2008,25,17.45,Magdalen Ride
629772441-5,Goodfellas,Crime|Drama,1986,82,17.12,Sam Cownden
265124667-0,Klute,Drama|Mystery,2000,84,7.38,Dan Karlolczak
194552266-6,Candleshoe,Adventure|Children|Comedy,2002,9,25.87,Heidi Whatson
065834267-3,Back to the Beach,Comedy,2008,55,24.33,Eddie McLagan
551798497-5,One Sunday Afternoon,Comedy|Romance,1997,87,8.91,Tomasine Salters
193304220-6,Deadtime Stories,Horror,1984,24,17.2,Ailbert Copyn
638996150-2,Solyaris,Drama|Sci-Fi,1997,6,14.66,Ulrike Casella
117821082-0,"Feuer, Eis & Dosenbier",Comedy,2012,74,11.56,Boyd Kurton
076353657-1,Bikes vs Cars,Documentary,1996,75,12.7,Jaquenette Eslinger
878732827-5,E=mc2,Action|Comedy,2003,17,24.74,Jazmin Winsley
944305310-1,Seeking Justice,Action|Drama|Thriller,1998,6,11.77,Margalit Boichat
420840972-X,"Deadly Tower, The",Action|Drama|Thriller,1995,55,18.18,Juliane Brandsen
443918754-4,"Murder, My Sweet",Crime|Film-Noir|Thriller,2004,50,18.51,Christina Anton
463883699-2,Eaten Alive (Mangiati Vivi),Adventure|Horror,2008,78,1.51,Cirillo Canto
633314147-X,Bad Girl,Drama,1996,74,13.09,Karin Fursse
690559704-X,Anchorman: The Legend of Ron Burgundy,Comedy,1988,60,9.22,Ekaterina Makinson
639710669-1,Little Giants,Children|Comedy,2005,92,3.05,Lucina Abadam
583753172-6,"Scarlet Letter, The",Drama,2002,21,28.59,Leda Plak
148496175-7,Best of the Badmen,Western,1995,3,28.09,Halsy Andreoletti
574577835-0,Death Wish 3,Action|Drama,1990,5,27.54,Nicholas Gledhall
692514606-X,Yesterday Was a Lie,Drama|Film-Noir|Mystery|Romance|Sci-Fi,1989,34,24.78,Gerty Lisett
557086873-9,City Heat,Action|Comedy,2009,3,8.82,Giffard Boner
150112304-1,In Your Eyes,Drama|Fantasy|Romance,2002,75,12.33,Else Stuckford
148425011-7,Lost in the Desert,Adventure|Drama|Thriller,1992,77,23.78,Janek Freeman
951879740-4,Lone Wolf and Cub: Baby Cart in the Land of Demons (Kozure Ôkami: Meifumadô),Action|Drama|Thriller,2013,91,2.09,Denni Ferencz
154955076-4,Dororo,Adventure|Fantasy,2010,2,9.59,Anica Seven
391251319-8,Viagem a Portugal,Drama|Romance,1999,28,13.6,Cindelyn Fleury
841891441-6,Premonition,Drama|Fantasy|Mystery|Thriller,1989,74,29.27,Martita Kingswold
382478611-7,M,Crime|Film-Noir|Thriller,1996,53,19.26,Hamil Sagrott
382456366-5,...tick... tick... tick...,Action|Drama,2002,25,4.03,Dayna Garmons
067849319-7,Lone Wolf and Cub: Baby Cart at the River Styx (Kozure Ôkami: Sanzu no kawa no ubaguruma),Action|Adventure,2010,81,25.61,Camellia Jakaway
711300465-2,Winter of Discontent,Drama,1997,36,8.07,Honey Prew
385455334-X,Cookie,Comedy|Crime,1994,22,17.83,Lyndy Luca
586767353-7,Eddie and the Cruisers,Drama|Musical|Mystery,2011,12,1.26,Clementina Downing
224092361-X,Boots and Saddles,Action|Western,1997,2,17.95,Faye Kristof
430450363-4,Romance on the High Seas,Comedy|Musical|Romance,2010,52,19.0,Ad Emmison
131575278-6,Chu Chin Chow,Comedy|Fantasy|Musical,2009,60,12.16,Damiano Springle
112306120-3,Nine Months,Comedy|Romance,2008,54,22.47,Derek Giovannini
712377813-8,"Hospital, The",Comedy|Drama,1995,87,25.93,Dillie Kemetz
922265233-9,Condorman,Action|Adventure|Children|Comedy,1992,55,9.62,Hogan Ethelston
057646091-5,Tower Heist,Action|Comedy|Crime,1992,84,23.01,Emmanuel Gherarducci
064268558-4,Let's Get Lost,Documentary|Musical,1993,17,6.93,Doralyn Quye
107212957-4,Virus,Horror|Sci-Fi,2008,4,9.76,Jelene Middleweek
110564113-9,"Scanner Darkly, A",Animation|Drama|Mystery|Sci-Fi|Thriller,1992,48,3.61,Marybelle Letchmore
246683560-6,Swamp Women,Adventure|Crime|Horror,1985,88,1.86,Giraud De Carlo
833252205-6,Knight of Cups,Drama,1997,62,19.8,Erma Carlo
773918621-X,Algiers,Drama|Romance,1983,14,1.37,Margy Vasiliu
843787435-1,Pharaoh's Army,War,2012,40,22.66,Jedd Brunnstein
959923617-3,Pitch Perfect,Comedy|Musical,2005,78,7.26,Carlo Winfred
501649506-8,Attila,Action|Horror|Thriller,2000,84,6.48,Emmye Kittiman
972848050-4,Step Up Love Story (Futari ecchi),Animation|Comedy|Romance,1990,42,22.84,Clive Liveing
887437688-X,"Life and Adventures of Santa Claus, The",Animation|Children,2007,18,28.8,Ahmed Parnaby
197951601-4,Way Down East,Drama|Romance,2005,48,14.03,Balduin Wheeler
487422233-1,"Stewart Lee: If You Prefer a Milder Comedian, Please Ask for One",Comedy,1956,74,23.41,Elton Avieson
898252360-X,Those Magnificent Men in Their Flying Machines,Action|Adventure|Comedy,1998,5,8.79,Ellswerth Giacomasso
011942285-9,"Elementary Particles, The (Elementarteilchen)",Drama|Romance,2003,19,4.21,Hugues Lothean
781620722-0,11 x 14,Drama,1994,26,21.8,Hatti Trustram
695933034-3,Remember My Name,Drama|Thriller,2007,58,28.26,Winni Langdon
530403098-2,Gozu (Gokudô kyôfu dai-gekijô: Gozu),Comedy|Crime|Drama|Horror|Mystery,2005,37,28.08,Carlen Shadfourth
790815643-6,Possessed,Drama|Horror,2003,100,8.96,Nevil Damp
377734393-5,"Day of the Jackal, The",Crime|Thriller,2007,50,29.32,Lynne Hubbard
832818260-2,Docking the Boat (Att angöra en brygga),Comedy|Drama|Romance,1986,46,5.55,Woody Sheriff
012416860-4,Whisky Galore,Comedy|Crime,2011,87,20.21,Olivia Bloodworthe
878334714-3,At the River I Stand,Documentary,2002,13,8.42,Bobby Ciccerale
570928066-6,Body and Soul,Drama|Film-Noir,1965,29,15.19,Josefa Bettesworth
396032235-6,Free Willy 2: The Adventure Home,Adventure|Children|Drama,2003,75,29.28,Graehme Haynes
262889146-8,Boris and Natasha,Action|Comedy,1986,26,5.86,Darn Ault
663069313-2,Chinese Take-Out (Chinese Take-Away) (Un cuento chino),Comedy,2003,76,27.78,Stephen Gallehawk
241806899-4,Phantom of the Megaplex,Action|Children|Comedy|Mystery,2006,48,27.31,Estel Whinray
374188795-1,"Nibelungen: Siegfried, Die",Adventure|Drama|Fantasy,1996,3,16.81,Ewell Covil
704363359-1,"Innocent, The",Drama,2010,27,3.59,Adriano Chalder
350479263-9,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1999,79,23.93,Em Speed
667157098-1,"Lady Takes a Chance, A",Comedy|Romance|Western,1998,88,15.46,Teri Vallance
617590473-7,Spirited Away (Sen to Chihiro no kamikakushi),Adventure|Animation|Fantasy,2009,37,26.21,Barby Crocombe
261695188-6,Flight of the Navigator,Adventure|Children|Sci-Fi,2009,78,22.51,Samara McLeod
629125273-2,Piñero,Drama,2010,95,5.53,Lenci Buddles
364416026-0,El Lobo,Thriller,2007,7,1.24,Flossie Swetland
831127371-5,Satanas,Crime|Drama,2005,50,14.32,Charyl Piers
437899675-8,Fatal Instinct,Comedy,1993,73,2.93,Chrysler Garaghan
325938668-8,12 Angry Men,Drama,2009,30,9.42,Roxane Epperson
811992780-X,"Boy and His Dog, A",Sci-Fi,1995,24,22.8,Nara Daskiewicz
120571230-5,"Slumber Party Massacre, The",Horror,1995,4,24.26,Edithe Shearer
241392438-8,Jack the Bear,Comedy|Drama,2008,38,8.47,Farleigh Benford
132889751-6,Waydowntown,Comedy,1998,3,13.68,Evvy Elfe
782165634-8,Eddie Izzard: Circle,Comedy,1992,12,7.04,Hanan Jantet
639968773-X,Brass Target,Action|Drama|Mystery|Thriller,2006,78,11.25,Grace Gaddas
538479153-5,Attack of the Crab Monsters,Horror|Sci-Fi,2009,100,1.86,Ripley Hurrell
276697474-1,Private Fears in Public Places (Coeurs),Drama|Romance,2004,48,11.97,Magnum Johnsson
590703699-0,Black Sunday,Action|Drama|Thriller,2001,39,9.33,Temp Rockell
860716515-1,Halloween II,Horror,2000,70,15.81,Estella Korneichuk
940939246-2,Fifty Dead Men Walking,Action|Drama|Thriller,1993,88,3.11,Bevvy Raycroft
799461190-7,Oyster Farmer,Drama,1994,94,3.08,Sherm Scrinage
567947875-7,Between Heaven and Hell,Drama|War,2000,19,9.17,Egbert Pritchitt
324878127-0,Pretty Woman,Comedy|Romance,1999,32,13.18,Imojean Ahrens
235262325-1,Point of No Return,Action|Thriller,1995,75,21.5,Ruperto Reynolds
128272987-X,Gen 13 (a.k.a. Gen13: The Animated Movie),Action|Animation|Sci-Fi,2006,22,21.56,Nicolis Ferrolli
003174237-8,Hipnos,Horror|Thriller,2013,62,13.09,Ernesta Kilby
515492567-X,"Die, Monster, Die!",Horror|Mystery|Sci-Fi,1986,33,14.45,Clareta Ridley
425605414-6,"Russian Specialist, The (Mechanik, The)",Action|Drama|Thriller,2004,58,19.82,Brant Potteril
382632043-3,"Milky Way, The",Comedy,2000,21,4.6,Xerxes Franzotto
846165862-0,"Place of One's Own, A",Drama|Mystery|Thriller,2009,37,14.58,Konstanze Hehnke
293892584-0,Thunderheart,Crime|Mystery|Thriller,1993,8,25.55,Witty Dur
020197555-6,I Am Not a Hipster,Drama,2001,18,15.84,Darrin Soltan
632026836-0,Sydney (Hard Eight),Crime|Drama|Thriller,1996,100,18.05,Devland Booeln
406828711-2,Curse of the Puppet Master (Puppet Master 6: The Curse),Horror|Sci-Fi|Thriller,2008,3,25.17,Joela Blaschke
903083372-6,Diamonds,Mystery,1988,19,17.13,Iormina Rouf
669409820-0,Battle in Heaven (Batalla en el cielo),Comedy|Drama|Romance,2009,39,21.86,Zonnya Chantler
088705433-1,Q: The Winged Serpent,Drama|Fantasy|Horror|Sci-Fi|Thriller,2006,54,23.14,Adoree Faulder
282408215-1,Philadelphia Experiment II,Action|Adventure|Sci-Fi,2003,11,22.32,Cristian Elner
487090953-7,Doctor at Large,Comedy|Romance,1998,14,4.59,Mariquilla Jelkes
034057120-9,Nemesis 2: Nebula,Action|Sci-Fi|Thriller,2006,93,24.42,Corabel Gierhard
723852387-6,"Private Eyes, The",Comedy|Mystery,1991,70,16.52,Lavena Hadwen
600783003-9,Dracula,Horror,2012,89,28.95,Reginald Aslet
771429279-2,Time to Leave,Drama,2007,27,28.11,Titus Eagland
178423705-1,Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie),Action|Animation|Crime|Drama|Film-Noir|Mystery|Sci-Fi|Thriller,2011,38,24.79,Pen Castledine
983700300-6,Imagine I'm Beautiful,Drama,2006,13,15.68,Oralia McSporon
943909165-7,"Shadow Dancer, The (Shadows in the Sun)",Comedy|Drama|Romance,1993,41,28.52,Pip Crosscombe
404801785-3,"Very Thought of You, The",Comedy|Romance,2012,50,29.88,Malinde Malicki
427179314-0,14 Hours (Fourteen Hours),Drama|Film-Noir|Thriller,2008,79,15.63,Carmel Ervine
891588812-X,Blackout,Mystery|Thriller,2000,66,17.26,Courtenay Moorhouse
127197335-9,Mouth to Mouth,Drama,2009,42,10.69,Cassondra Brader
277530203-3,I Saw Mommy Kissing Santa Claus,Children|Comedy,1998,26,7.23,Bridget Rundle
891189536-9,Hustle & Flow,Crime|Drama,2001,27,23.72,Corabella Watson-Brown
949043798-0,Central Park,Documentary,1993,53,3.43,Hastings Sonley
520879525-6,3:10 to Yuma,Action|Adventure|Drama|Thriller|Western,2003,71,21.74,Lucilia Haccleton
017616207-0,"Saga of Gosta Berling, The (Gösta Berlings saga)",Drama|Romance,2004,83,24.66,Sibley Glencrosche
664054707-4,Camouflage (Barwy ochronne),Comedy|Drama,2004,71,12.21,Trix Woodward
534634305-9,Fear,Horror|Thriller,2005,31,18.61,Gloriana Rockall
910498340-8,Mirrors,Horror|Mystery|Thriller,2012,73,5.78,Neely Groom
254408677-7,Polskie gówno,Comedy|Musical,2002,56,29.01,Clemmie Rutty
087004335-8,Stranger on the Prowl (Imbarco a mezzanotte),Drama,1992,14,23.78,Easter Croisier
825560780-3,"Counterfeit Traitor, The",Thriller|War,1985,86,10.62,Hadlee Colbron
836116998-9,Experience Preferred... But Not Essential,Drama,2006,27,15.65,Carolan Yashaev
207599017-4,What No One Knows (Det som ingen ved),Drama|Thriller,1991,71,14.4,Simon Ablett
952374533-6,They Wait,Horror|Mystery|Thriller,2010,48,15.6,Georgianna Roux
919027945-X,Up in the Air,Drama|Romance,2008,84,20.51,Mathilde Pottberry
704971253-1,"Ivan the Terrible, Part Two (Ivan Groznyy II: Boyarsky zagovor)",Drama,1989,48,9.61,Nola Moyles
413866890-X,Luster,Comedy|Drama|Romance,1977,9,17.69,Agnella Rubberts
969472151-2,Duelist (Hyeongsa),Action|Mystery,2007,92,12.13,Renie Crose
473794430-0,Boy (Shônen),Drama,2001,46,29.9,Robin Ritchard
406947343-2,Like Mike 2: Streetball,Children|Comedy,1992,59,9.06,Gibb Jude
214350225-7,At the Devil's Door,Horror,1995,88,20.28,Chaddie Beaten
725711154-5,Lewis Black: Stark Raving Black,Comedy,2008,82,28.71,Bard Golsby
226714700-9,"Private War of Major Benson, The",Children|Comedy|Romance,1994,71,2.21,Lexi Twigger
125198195-X,The Wedding Ringer,Comedy,1987,56,15.31,Rubetta Lanmeid
181384991-9,"Nibelungen: Siegfried, Die",Adventure|Drama|Fantasy,2000,28,26.59,Othello Giacopini
207270757-9,Road Hard,Comedy,2000,79,18.41,Darlleen Smither
036031254-3,"Shaolin Temple, The (Shao Lin Si)",Action,2009,86,4.09,Fawne Scogings
411750901-2,Blonde Ambition,Comedy|Romance,2012,88,5.59,Steven Pollock
629879072-1,Woodstock,Documentary|Musical,1976,18,28.2,Ellene Acomb
400295143-X,Warriors (Guerreros),Adventure|Drama|War,1994,33,14.52,Aldous Skaife d'Ingerthorpe
665992314-4,Queen of Outer Space,Adventure|Fantasy|Sci-Fi,2003,42,12.1,Petronella Hoogendorp
670978214-X,"Score, The",Action|Drama,2009,8,6.06,Briney Brosetti
707327519-7,Raintree County,Drama|Romance,1997,87,15.46,Valida Sarll
562869052-X,Visit to a Small Planet,Comedy|Sci-Fi,2002,51,1.41,Rahel Topham
635951439-7,"Don't Worry, I'm Fine (Je vais bien, ne t'en fais pas)",Drama,1998,8,7.43,Brigit O'Driscoll
063293549-9,Nevada Smith,Western,1996,62,17.95,Beret Southworth
822640983-7,Fire Down Below,Action|Drama|Thriller,2007,96,26.22,Cindie Dallicott
249056558-3,Not of This Earth,Sci-Fi,1956,97,15.41,Ivory Maxwale
770677134-2,Suzanne's Career (La carrière de Suzanne),Romance,2006,97,28.3,Velvet Gannicleff
434864658-9,Flight of the Phoenix,Action|Adventure,2011,41,6.15,Rosmunda Frostdick
652204749-7,Pennies from Heaven,Comedy|Drama|Musical,1989,76,28.55,Kingsly Broschke
059460536-9,Welcome to the South (Benvenuti al Sud),Comedy,2008,7,26.23,Amalita Clemenza
831593163-6,Back to the Future Part II,Adventure|Comedy|Sci-Fi,1994,35,21.32,Bertram Golsworthy
181312305-5,Lawman,Western,2001,75,5.29,Leland Isselee
368871442-3,Fire Down Below,Action|Drama|Thriller,1998,5,3.44,Wallis Bogace
704091236-8,Cabin Boy,Comedy,1991,12,17.07,Shelby Everton
657875145-9,Police Academy 4: Citizens on Patrol,Comedy|Crime,2009,11,3.6,Aubrey De Hoogh
056090778-8,Seize the Day,Drama,2000,16,24.72,Ferdinanda Wearing
831271579-7,"Fugitive Kind, The",Crime|Drama|Romance,2004,45,8.52,Alick Bertouloume
425579442-1,Lemonade Joe (Limonádový Joe aneb Konská opera),Adventure|Comedy|Musical|Romance|Western,2007,14,2.47,Mendel Kivlin
459184027-1,Trippin',Comedy,2002,36,16.87,Nichols Andryunin
888104650-4,Borderline,Crime|Drama|Romance,1998,66,19.71,Oralee Mealham
163304584-6,Lost and Delirious,Drama,2011,93,22.85,Morly Campos
212677118-0,One Fine Spring Day (Bomnaleun ganda),Drama,2006,78,17.45,Darcy Osgorby
732267069-8,"Dark Angel: Ascent, The",Horror|Romance,1983,90,19.2,Cesar Tight
248581492-9,"Living Room of the Nation, The (Kansakunnan olohuone)",Documentary,1984,83,20.21,Darda Fulks
181263468-4,Malaya,Adventure|Drama,2006,8,8.4,Butch Blumsom
580453841-1,"Ator, the Fighting Eagle (Ator l'invincibile)",Action|Adventure|Fantasy,2008,25,21.14,Aundrea Bloxam
552998988-8,One Step Ahead of My Shadow,(no genres listed),1997,77,13.85,Kari Aspinell
963584710-6,Easy Living,Comedy|Romance,2005,62,3.28,Claudia Kennea
302622507-X,Populaire,Comedy,2009,34,21.12,Ronnie Maughan
483251005-3,Kurt Cobain About a Son,Documentary|Musical,2006,59,6.8,Igor Coult
861185904-9,Eight Below,Action|Adventure|Drama|Romance,1984,58,19.78,Kinna Spohrmann
109318194-X,Murder by Proxy: How America Went Postal,Documentary,1989,43,24.23,Laural Gapper
557742489-5,Clint Eastwood: Out of the Shadows,Documentary,1992,81,29.65,Carmita Garner
307186212-1,Takeshis',Comedy|Drama,1992,75,13.09,Nance Swift
736699173-2,Visitor Q (Bizita Q),Comedy|Drama|Horror,1990,84,1.78,Roobbie Wareing
406943388-0,Rude Boy,Documentary|Drama,2003,39,22.59,Sacha Ettery
350000401-6,Revolutionary Girl Utena: Adolescence of Utena (a.k.a. Revolutionary Girl Utena the Movie) (Shoujo kakumei Utena: Adolescence mokushiroku),Action|Adventure|Animation|Comedy|Drama|Fantasy|Romance,1992,17,18.76,Taryn Petrowsky
113341297-1,Two for the Money,Drama,1997,21,23.47,Keslie Baudouin
463176312-4,"Adventures of Baron Munchausen, The",Adventure|Comedy|Fantasy,2004,31,13.44,Leandra Schorah
140590792-4,Russian Doll,Comedy|Romance,2000,37,17.15,Eugenie Stone
230860824-2,Torrente 5: Operación Eurovegas,Action|Comedy,2006,19,3.87,Alli Noddles
110331691-5,"Unforgettable Summer, An (Un été inoubliable)",Drama,2004,84,1.59,Lonni Coldicott
723324834-6,Preaching to the Perverted,Comedy|Drama,1993,80,18.44,Jedediah Yurchenko
401956449-3,Zatoichi,Action|Drama,1989,39,17.18,Fidela Cockshott
133686501-6,"Philadelphia Story, The",Comedy|Drama|Romance,2012,55,23.34,Merna Herrema
328680733-8,"Brief Vacation, A (breve vacanza, Una)",Drama|Romance,1998,47,12.51,Glen Willcocks
864227639-8,Wild Horses (Caballos salvajes),Drama,1990,15,25.47,Veronique Ivannikov
793017899-4,Street Fighter: Assassin's Fist,Action|Adventure|Drama|Thriller,2000,2,3.02,Vernor Fraanchyonok
183928739-X,More Than Honey,Documentary,1999,78,2.31,Gabriele Lundberg
727546259-1,Xuxa in Crystal Moon,Children|Comedy|Romance,1993,19,13.28,Dorree Ruf
233327904-4,"Nights of Cabiria (Notti di Cabiria, Le)",Drama,2003,3,3.39,Isabella Molden
725716262-X,Tokio Baby,Drama,2010,22,20.77,Batholomew Leopard
177313025-0,Poolhall Junkies,Comedy|Drama|Thriller,2005,7,21.55,Worth Creamer
680500674-0,Ronal the Barbarian,Adventure|Animation|Fantasy,2005,73,9.51,Paddy Galpen
432145729-7,Steal a Pencil for Me,Documentary|Romance,2008,80,29.8,Klement Estable
493773822-4,"Boys & Girl from County Clare, The (a.k.a. The Boys from County Clare)",Comedy|Musical|Romance,2008,66,23.36,Lazaro Amoore
450720370-8,Dark Island,Action|Sci-Fi|Thriller,2008,60,6.79,Marla Klemencic
427477322-1,Dead Ahead: The Exxon Valdez Disaster,Drama,1966,21,4.83,Jolene Jostan
678126610-1,In a Dark Place,Horror|Mystery|Thriller,2011,29,5.47,Tim Kenryd
017018666-0,Divergent,Adventure|Romance|Sci-Fi|IMAX,2008,100,4.54,Dani Petters
491013183-3,Flesh and Bone,Drama|Mystery|Romance,1998,56,4.51,Garald Di Giacomettino
887522313-0,Miss Sweden (Fröken Sverige),Drama,2004,14,3.03,Hubert Seal
462060951-X,"Reader, The",Drama|Romance,1990,83,11.81,Cody Whebell
790278398-6,Devil's Pond,Drama|Thriller,1990,70,6.66,Parker Croyser
766015751-5,Crazy on the Outside,Comedy|Crime,2008,76,10.61,Artur Gourlie
871085672-2,"Owl and the Pussycat, The",Comedy,2003,28,13.37,Bartie O'Lyhane
